@relation 'dm_prak-weka.filters.unsupervised.instance.imagefilter.EdgeHistogramFilter-D/home/oier/Universidad/DM/1.Praktika/IK22/irteera/enhance-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R3,5,14-15,18,21,27-29,32-33,46-48,50-56,59-60,62,65-67,69,71,73,79,81'

@attribute 'MPEG-7 Edge Histogram2' numeric
@attribute 'MPEG-7 Edge Histogram4' numeric
@attribute 'MPEG-7 Edge Histogram13' numeric
@attribute 'MPEG-7 Edge Histogram14' numeric
@attribute 'MPEG-7 Edge Histogram17' numeric
@attribute 'MPEG-7 Edge Histogram20' numeric
@attribute 'MPEG-7 Edge Histogram26' numeric
@attribute 'MPEG-7 Edge Histogram27' numeric
@attribute 'MPEG-7 Edge Histogram28' numeric
@attribute 'MPEG-7 Edge Histogram31' numeric
@attribute 'MPEG-7 Edge Histogram32' numeric
@attribute 'MPEG-7 Edge Histogram45' numeric
@attribute 'MPEG-7 Edge Histogram46' numeric
@attribute 'MPEG-7 Edge Histogram47' numeric
@attribute 'MPEG-7 Edge Histogram49' numeric
@attribute 'MPEG-7 Edge Histogram50' numeric
@attribute 'MPEG-7 Edge Histogram51' numeric
@attribute 'MPEG-7 Edge Histogram52' numeric
@attribute 'MPEG-7 Edge Histogram53' numeric
@attribute 'MPEG-7 Edge Histogram54' numeric
@attribute 'MPEG-7 Edge Histogram55' numeric
@attribute 'MPEG-7 Edge Histogram58' numeric
@attribute 'MPEG-7 Edge Histogram59' numeric
@attribute 'MPEG-7 Edge Histogram61' numeric
@attribute 'MPEG-7 Edge Histogram64' numeric
@attribute 'MPEG-7 Edge Histogram65' numeric
@attribute 'MPEG-7 Edge Histogram66' numeric
@attribute 'MPEG-7 Edge Histogram68' numeric
@attribute 'MPEG-7 Edge Histogram70' numeric
@attribute 'MPEG-7 Edge Histogram72' numeric
@attribute 'MPEG-7 Edge Histogram78' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data
1,0,4,1,0,4,2,3,3,1,2,1,1,2,0,0,0,4,1,1,3,1,1,5,0,2,3,3,3,6,0,K1
4,0,4,0,0,3,1,4,3,3,4,1,0,2,0,0,1,4,0,0,1,0,0,0,0,0,1,3,0,1,0,K1
1,0,2,0,0,4,3,5,2,3,0,0,2,1,0,0,2,5,0,0,1,0,0,1,0,0,3,5,0,1,0,K1
3,0,1,0,0,1,3,3,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,K1
3,0,6,0,0,4,2,3,5,2,3,3,1,3,0,2,1,4,4,0,5,2,0,0,0,1,0,7,3,4,0,K1
5,1,1,1,1,4,2,2,2,1,2,1,1,0,1,1,1,6,0,2,2,3,2,5,1,3,6,3,1,4,2,K1
4,2,7,2,2,5,2,2,2,1,3,3,0,2,1,2,1,4,3,1,4,4,1,6,2,0,3,4,0,6,3,K1
0,0,5,1,0,2,3,4,2,1,2,1,1,0,1,1,1,5,2,1,3,1,1,0,0,1,2,2,6,3,1,K1
2,1,5,1,3,4,2,2,1,1,1,1,1,2,0,2,1,4,1,2,4,5,3,2,1,3,4,7,4,4,6,K1
4,3,5,3,3,6,2,0,2,1,1,1,1,0,1,1,0,4,2,2,5,0,2,2,0,1,5,6,3,3,1,K1
6,3,6,1,2,5,2,1,2,1,3,3,1,1,1,3,1,3,3,1,6,2,1,1,0,1,2,7,0,5,3,K1
7,3,4,2,2,6,1,1,2,1,0,2,1,2,0,3,1,1,0,2,4,2,3,0,1,0,3,5,2,3,1,K1
1,1,3,0,0,4,2,2,2,1,0,2,0,2,0,2,1,4,3,1,3,0,1,0,0,0,2,4,0,3,0,K1
1,0,2,1,1,3,1,6,3,2,2,5,0,2,0,4,1,3,2,1,3,1,2,3,3,2,2,7,2,6,7,K1
3,0,2,1,0,3,2,3,5,3,3,3,1,1,1,3,1,6,2,1,4,7,3,2,1,2,5,5,3,7,7,K1
