@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-D/home/oier/Universidad/DM/1.Praktika/IK22/irteera/enhance-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data
255,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,12,0,0,6,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,21,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,17,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,12,0,0,7,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,29,0,0,0,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,14,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,26,K1
21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,24,0,0,2,255,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,3,K1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,13,0,0,2,204,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,0,0,0,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,17,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,4,0,0,0,0,0,0,0,0,0,83,6,0,0,23,77,18,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,255,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,255,11,0,0,0,0,0,0,0,0,0,57,2,0,0,48,125,32,0,0,0,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,40,0,0,0,21,K1
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,255,7,0,0,0,0,0,0,0,0,0,113,3,0,0,29,60,13,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,0,0,0,29,K1
65,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,17,0,0,4,218,3,0,0,0,0,0,0,0,0,0,255,2,0,0,37,71,20,0,0,0,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,67,0,0,0,49,K1
